,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.003978899999992791,7.0,50.0,50.0,0.1,500
1,1,0.014004099999965547,4.0,102.0,50.0,0.1,500
2,2,0.01938960000006773,4.0,153.0,50.0,0.1,500
3,3,0.02481890000012754,3.0,205.0,50.0,0.1,500
4,4,0.030232900000100926,3.0,256.0,50.0,0.1,500
5,5,0.0358541000000514,1.0,308.0,50.0,0.1,500
6,6,0.04126900000005662,1.0,359.0,50.0,0.1,500
7,7,0.046643599999924845,1.0,410.0,50.0,0.1,500
8,8,0.05254519999994045,1.0,461.0,50.0,0.1,500
9,9,0.05808600000000297,1.0,512.0,50.0,0.1,500
10,10,0.06357909999996991,1.0,563.0,50.0,0.1,500
11,11,0.06895890000009786,1.0,614.0,50.0,0.1,500
12,12,0.07447350000006736,1.0,665.0,50.0,0.1,500
13,13,0.08000240000001213,0.0,717.0,50.0,0.1,500
14,0,0.003978899999992791,7.0,50.0,50.0,0.3,500
15,1,0.014004099999965547,6.0,102.0,50.0,0.3,500
16,2,0.01938960000006773,4.0,154.0,50.0,0.3,500
17,3,0.02481890000012754,3.0,206.0,50.0,0.3,500
18,4,0.030232900000100926,3.0,257.0,50.0,0.3,500
19,5,0.0358541000000514,3.0,308.0,50.0,0.3,500
20,6,0.04126900000005662,3.0,359.0,50.0,0.3,500
21,7,0.046643599999924845,3.0,410.0,50.0,0.3,500
22,8,0.05254519999994045,3.0,461.0,50.0,0.3,500
23,9,0.05808600000000297,2.0,513.0,50.0,0.3,500
24,10,0.06357909999996991,0.0,565.0,50.0,0.3,500
25,0,0.003978899999992791,7.0,50.0,50.0,0.5,500
26,1,0.014004099999965547,3.0,102.0,50.0,0.5,500
27,2,0.01938960000006773,3.0,153.0,50.0,0.5,500
28,3,0.02481890000012754,3.0,204.0,50.0,0.5,500
29,4,0.030232900000100926,3.0,255.0,50.0,0.5,500
30,5,0.0358541000000514,3.0,306.0,50.0,0.5,500
31,6,0.04126900000005662,3.0,357.0,50.0,0.5,500
32,7,0.046643599999924845,3.0,408.0,50.0,0.5,500
33,8,0.05254519999994045,3.0,459.0,50.0,0.5,500
34,9,0.05808600000000297,1.0,511.0,50.0,0.5,500
35,10,0.06357909999996991,1.0,562.0,50.0,0.5,500
36,11,0.06895890000009786,1.0,613.0,50.0,0.5,500
37,12,0.07447350000006736,1.0,664.0,50.0,0.5,500
38,13,0.08000240000001213,1.0,715.0,50.0,0.5,500
39,14,0.003995399999894289,1.0,766.0,50.0,0.5,500
40,15,0.01386089999982687,0.0,818.0,50.0,0.5,500
41,0,0.003978899999992791,7.0,200.0,200.0,0.1,500
42,1,0.014004099999965547,4.0,402.0,200.0,0.1,500
43,2,0.01938960000006773,4.0,603.0,200.0,0.1,500
44,3,0.02481890000012754,1.0,805.0,200.0,0.1,500
45,4,0.030232900000100926,1.0,1006.0,200.0,0.1,500
46,5,0.0358541000000514,1.0,1207.0,200.0,0.1,500
47,6,0.04126900000005662,1.0,1408.0,200.0,0.1,500
48,7,0.046643599999924845,1.0,1609.0,200.0,0.1,500
49,8,0.05254519999994045,1.0,1810.0,200.0,0.1,500
50,9,0.05808600000000297,0.0,2012.0,200.0,0.1,500
51,0,0.003978899999992791,7.0,200.0,200.0,0.3,500
52,1,0.014004099999965547,3.0,402.0,200.0,0.3,500
53,2,0.01938960000006773,1.0,604.0,200.0,0.3,500
54,3,0.02481890000012754,1.0,805.0,200.0,0.3,500
55,4,0.030232900000100926,1.0,1006.0,200.0,0.3,500
56,5,0.0358541000000514,1.0,1207.0,200.0,0.3,500
57,6,0.04126900000005662,1.0,1408.0,200.0,0.3,500
58,7,0.046643599999924845,1.0,1609.0,200.0,0.3,500
59,8,0.05254519999994045,1.0,1810.0,200.0,0.3,500
60,9,0.05808600000000297,1.0,2011.0,200.0,0.3,500
61,10,0.06357909999996991,1.0,2212.0,200.0,0.3,500
62,11,0.06895890000009786,1.0,2413.0,200.0,0.3,500
63,12,0.07447350000006736,1.0,2614.0,200.0,0.3,500
64,13,0.08000240000001213,1.0,2815.0,200.0,0.3,500
65,14,0.003995399999894289,1.0,3016.0,200.0,0.3,500
66,15,0.01386089999982687,1.0,3217.0,200.0,0.3,500
67,16,0.019343599999956496,1.0,3418.0,200.0,0.3,500
68,17,0.02507300000002033,1.0,3619.0,200.0,0.3,500
69,18,0.030869899999970585,1.0,3820.0,200.0,0.3,500
70,19,0.03672499999993306,1.0,4021.0,200.0,0.3,500
71,20,0.04257529999995313,0.0,4223.0,200.0,0.3,500
72,0,0.003978899999992791,7.0,200.0,200.0,0.5,500
73,1,0.014004099999965547,4.0,402.0,200.0,0.5,500
74,2,0.01938960000006773,4.0,603.0,200.0,0.5,500
75,3,0.02481890000012754,3.0,805.0,200.0,0.5,500
76,4,0.030232900000100926,3.0,1006.0,200.0,0.5,500
77,5,0.0358541000000514,2.0,1208.0,200.0,0.5,500
78,6,0.04126900000005662,2.0,1409.0,200.0,0.5,500
79,7,0.046643599999924845,2.0,1610.0,200.0,0.5,500
80,8,0.05254519999994045,1.0,1812.0,200.0,0.5,500
81,9,0.05808600000000297,1.0,2013.0,200.0,0.5,500
82,10,0.06357909999996991,1.0,2214.0,200.0,0.5,500
83,11,0.06895890000009786,1.0,2415.0,200.0,0.5,500
84,12,0.07447350000006736,0.0,2617.0,200.0,0.5,500
