,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0.0,7.0,50,0.003978899999992791,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",50.0,0.1,500
1,50.0,0.0,717,0.08000240000001213,"[6, 9, 0, 9, 11, 0, 1, 4, 7, 5, 9, 11, 10, 6, 3, 7, 4, 8, 5, 3, 2, 11, 8, 11, 1, 2, 5, 5, 1, 8, 11, 10, 1, 2, 9, 4, 11, 11, 11, 9, 2, 11, 11, 0, 5, 4, 10, 10, 0, 7]",50.0,0.1,500
2,200.0,0.0,717,0.08000240000001213,"[6, 9, 0, 9, 11, 0, 1, 4, 7, 5, 9, 11, 10, 6, 3, 7, 4, 8, 5, 3, 2, 11, 8, 11, 1, 2, 5, 5, 1, 8, 11, 10, 1, 2, 9, 4, 11, 11, 11, 9, 2, 11, 11, 0, 5, 4, 10, 10, 0, 7]",50.0,0.1,500
3,500.0,0.0,717,0.08000240000001213,"[6, 9, 0, 9, 11, 0, 1, 4, 7, 5, 9, 11, 10, 6, 3, 7, 4, 8, 5, 3, 2, 11, 8, 11, 1, 2, 5, 5, 1, 8, 11, 10, 1, 2, 9, 4, 11, 11, 11, 9, 2, 11, 11, 0, 5, 4, 10, 10, 0, 7]",50.0,0.1,500
4,0.0,7.0,50,0.003995399999894289,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",50.0,0.3,500
5,50.0,0.0,565,0.0656615000000329,"[0, 1, 5, 5, 0, 8, 0, 3, 1, 11, 8, 11, 0, 4, 4, 4, 2, 8, 11, 3, 6, 4, 6, 3, 11, 6, 3, 2, 10, 3, 7, 10, 9, 1, 4, 4, 4, 4, 6, 7, 7, 11, 3, 8, 2, 5, 9, 9, 4, 3]",50.0,0.3,500
6,200.0,0.0,565,0.0656615000000329,"[0, 1, 5, 5, 0, 8, 0, 3, 1, 11, 8, 11, 0, 4, 4, 4, 2, 8, 11, 3, 6, 4, 6, 3, 11, 6, 3, 2, 10, 3, 7, 10, 9, 1, 4, 4, 4, 4, 6, 7, 7, 11, 3, 8, 2, 5, 9, 9, 4, 3]",50.0,0.3,500
7,500.0,0.0,565,0.0656615000000329,"[0, 1, 5, 5, 0, 8, 0, 3, 1, 11, 8, 11, 0, 4, 4, 4, 2, 8, 11, 3, 6, 4, 6, 3, 11, 6, 3, 2, 10, 3, 7, 10, 9, 1, 4, 4, 4, 4, 6, 7, 7, 11, 3, 8, 2, 5, 9, 9, 4, 3]",50.0,0.3,500
8,0.0,7.0,50,0.003975099999934173,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",50.0,0.5,500
9,50.0,0.0,818,0.09431119999999282,"[5, 10, 7, 5, 11, 11, 1, 10, 9, 8, 5, 3, 6, 7, 0, 3, 8, 9, 11, 3, 7, 4, 2, 5, 6, 1, 10, 9, 9, 2, 6, 7, 8, 0, 9, 7, 11, 7, 3, 10, 5, 2, 2, 10, 4, 9, 1, 1, 5, 6]",50.0,0.5,500
10,200.0,0.0,818,0.09431119999999282,"[5, 10, 7, 5, 11, 11, 1, 10, 9, 8, 5, 3, 6, 7, 0, 3, 8, 9, 11, 3, 7, 4, 2, 5, 6, 1, 10, 9, 9, 2, 6, 7, 8, 0, 9, 7, 11, 7, 3, 10, 5, 2, 2, 10, 4, 9, 1, 1, 5, 6]",50.0,0.5,500
11,500.0,0.0,818,0.09431119999999282,"[5, 10, 7, 5, 11, 11, 1, 10, 9, 8, 5, 3, 6, 7, 0, 3, 8, 9, 11, 3, 7, 4, 2, 5, 6, 1, 10, 9, 9, 2, 6, 7, 8, 0, 9, 7, 11, 7, 3, 10, 5, 2, 2, 10, 4, 9, 1, 1, 5, 6]",50.0,0.5,500
12,0.0,7.0,200,0.015280899999879693,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",200.0,0.1,500
13,50.0,0.0,2012,0.21387289999984205,"[7, 3, 2, 5, 4, 3, 11, 5, 5, 2, 8, 9, 5, 1, 1, 11, 6, 3, 1, 4, 7, 2, 0, 8, 1, 1, 10, 0, 4, 0, 8, 10, 6, 1, 10, 9, 0, 2, 0, 1, 2, 8, 10, 4, 3, 9, 10, 9, 2, 4]",200.0,0.1,500
14,200.0,0.0,2012,0.21387289999984205,"[7, 3, 2, 5, 4, 3, 11, 5, 5, 2, 8, 9, 5, 1, 1, 11, 6, 3, 1, 4, 7, 2, 0, 8, 1, 1, 10, 0, 4, 0, 8, 10, 6, 1, 10, 9, 0, 2, 0, 1, 2, 8, 10, 4, 3, 9, 10, 9, 2, 4]",200.0,0.1,500
15,500.0,0.0,2012,0.21387289999984205,"[7, 3, 2, 5, 4, 3, 11, 5, 5, 2, 8, 9, 5, 1, 1, 11, 6, 3, 1, 4, 7, 2, 0, 8, 1, 1, 10, 0, 4, 0, 8, 10, 6, 1, 10, 9, 0, 2, 0, 1, 2, 8, 10, 4, 3, 9, 10, 9, 2, 4]",200.0,0.1,500
16,0.0,7.0,200,0.015372500000012224,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",200.0,0.3,500
17,50.0,0.0,4223,0.459993200000099,"[7, 3, 2, 4, 1, 6, 7, 7, 4, 2, 6, 11, 10, 4, 9, 9, 11, 7, 5, 1, 6, 0, 9, 1, 5, 7, 6, 10, 11, 6, 2, 9, 5, 3, 3, 5, 9, 6, 0, 7, 8, 8, 11, 10, 10, 0, 5, 1, 5, 11]",200.0,0.3,500
18,200.0,0.0,4223,0.459993200000099,"[7, 3, 2, 4, 1, 6, 7, 7, 4, 2, 6, 11, 10, 4, 9, 9, 11, 7, 5, 1, 6, 0, 9, 1, 5, 7, 6, 10, 11, 6, 2, 9, 5, 3, 3, 5, 9, 6, 0, 7, 8, 8, 11, 10, 10, 0, 5, 1, 5, 11]",200.0,0.3,500
19,500.0,0.0,4223,0.459993200000099,"[7, 3, 2, 4, 1, 6, 7, 7, 4, 2, 6, 11, 10, 4, 9, 9, 11, 7, 5, 1, 6, 0, 9, 1, 5, 7, 6, 10, 11, 6, 2, 9, 5, 3, 3, 5, 9, 6, 0, 7, 8, 8, 11, 10, 10, 0, 5, 1, 5, 11]",200.0,0.3,500
20,0.0,7.0,200,0.015372500000012224,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6]",200.0,0.5,500
21,50.0,0.0,2617,0.28636249999999563,"[11, 1, 11, 2, 0, 2, 1, 10, 6, 6, 10, 5, 0, 7, 7, 3, 1, 3, 9, 1, 7, 4, 4, 0, 0, 0, 3, 3, 0, 8, 6, 0, 2, 3, 4, 0, 7, 0, 10, 10, 5, 8, 10, 8, 9, 5, 5, 2, 5, 3]",200.0,0.5,500
22,200.0,0.0,2617,0.28636249999999563,"[11, 1, 11, 2, 0, 2, 1, 10, 6, 6, 10, 5, 0, 7, 7, 3, 1, 3, 9, 1, 7, 4, 4, 0, 0, 0, 3, 3, 0, 8, 6, 0, 2, 3, 4, 0, 7, 0, 10, 10, 5, 8, 10, 8, 9, 5, 5, 2, 5, 3]",200.0,0.5,500
23,500.0,0.0,2617,0.28636249999999563,"[11, 1, 11, 2, 0, 2, 1, 10, 6, 6, 10, 5, 0, 7, 7, 3, 1, 3, 9, 1, 7, 4, 4, 0, 0, 0, 3, 3, 0, 8, 6, 0, 2, 3, 4, 0, 7, 0, 10, 10, 5, 8, 10, 8, 9, 5, 5, 2, 5, 3]",200.0,0.5,500
